row_type,source,retrieved_at_utc,menu,category_path,category,subcategory,product_name,product_number,form_code,product_type,availability,size_code,default_size,sku,uri,image_url,notes
product_size,Starbucks official menu API,2026-05-16T22:20:55Z,Drinks,Protein Beverages > High Protein Lattes,High Protein Lattes,High Protein Lattes,Iced Caramel Protein Latte,28733,Iced,Beverage,Available,Venti,Grande,,https://www.starbucks.com/menu/product/28733/iced,https://cloudassets.starbucks.com/is/image/sbuxcorp/IcedCaramelProteinLatte,
product_size,Starbucks official menu API,2026-05-16T22:20:55Z,Drinks,Protein Beverages > High Protein Lattes,High Protein Lattes,High Protein Lattes,Iced Caramel Protein Matcha,28731,Iced,Beverage,Available,Tall,Grande,,https://www.starbucks.com/menu/product/28731/iced,https://cloudassets.starbucks.com/is/image/sbuxcorp/IcedMatchaTeaLattewProtein,
product_size,Starbucks official menu API,2026-05-16T22:20:55Z,Drinks,Protein Beverages > High Protein Lattes,High Protein Lattes,High Protein Lattes,Iced Caramel Protein Matcha,28731,Iced,Beverage,Available,Grande,Grande,11184992,https://www.starbucks.com/menu/product/28731/iced,https://cloudassets.starbucks.com/is/image/sbuxcorp/IcedMatchaTeaLattewProtein,
product_size,Starbucks official menu API,2026-05-16T22:20:55Z,Drinks,Protein Beverages > High Protein Lattes,High Protein Lattes,High Protein Lattes,Iced Caramel Protein Matcha,28731,Iced,Beverage,Available,Venti,Grande,,https://www.starbucks.com/menu/product/28731/iced,https://cloudassets.starbucks.com/is/image/sbuxcorp/IcedMatchaTeaLattewProtein,
product_size,Starbucks official menu API,2026-05-16T22:20:55Z,Drinks,Protein Beverages > High Protein Lattes,High Protein Lattes,High Protein Lattes,Vanilla Protein Latte,28499,Hot,Beverage,Available,Short,Grande,,https://www.starbucks.com/menu/product/28499/hot,https://cloudassets.starbucks.com/is/image/sbuxcorp/CaffeLattewProtein,
product_size,Starbucks official menu API,2026-05-16T22:20:55Z,Drinks,Protein Beverages > High Protein Lattes,High Protein Lattes,High Protein Lattes,Vanilla Protein Latte,28499,Hot,Beverage,Available,Tall,Grande,,https://www.starbucks.com/menu/product/28499/hot,https://cloudassets.starbucks.com/is/image/sbuxcorp/CaffeLattewProtein,
product_size,Starbucks official menu API,2026-05-16T22:20:55Z,Drinks,Protein Beverages > High Protein Lattes,High Protein Lattes,High Protein Lattes,Vanilla Protein Latte,28499,Hot,Beverage,Available,Grande,Grande,11182668,https://www.starbucks.com/menu/product/28499/hot,https://cloudassets.starbucks.com/is/image/sbuxcorp/CaffeLattewProtein,
product_size,Starbucks official menu API,2026-05-16T22:20:55Z,Drinks,Protein Beverages > High Protein Lattes,High Protein Lattes,High Protein Lattes,Vanilla Protein Latte,28499,Hot,Beverage,Available,Venti,Grande,,https://www.starbucks.com/menu/product/28499/hot,https://cloudassets.starbucks.com/is/image/sbuxcorp/CaffeLattewProtein,
product_size,Starbucks official menu API,2026-05-16T22:20:55Z,Drinks,Protein Beverages > High Protein Lattes,High Protein Lattes,High Protein Lattes,Protein Matcha,28503,Hot,Beverage,Available,Short,Grande,,https://www.starbucks.com/menu/product/28503/hot,https://cloudassets.starbucks.com/is/image/sbuxcorp/SBX20250821_ProteinMatchaTeaLatte,
product_size,Starbucks official menu API,2026-05-16T22:20:55Z,Drinks,Protein Beverages > High Protein Lattes,High Protein Lattes,High Protein Lattes,Protein Matcha,28503,Hot,Beverage,Available,Tall,Grande,,https://www.starbucks.com/menu/product/28503/hot,https://cloudassets.starbucks.com/is/image/sbuxcorp/SBX20250821_ProteinMatchaTeaLatte,
